2024-06-23 18:42:51.233 [main] INFO  g.o.s.ShortenServiceApplication - Starting ShortenServiceApplication using Java 17.0.2 with PID 16668 (C:\SON.admin\ProjectFinal\gonlink.online\backend\shorten-service\build\classes\java\main started by ADMIN in C:\SON.admin\ProjectFinal\gonlink.online\backend)
2024-06-23 18:42:51.234 [main] INFO  g.o.s.ShortenServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-23 18:42:51.685 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-06-23 18:42:51.746 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55 ms. Found 1 MongoDB repository interface.
2024-06-23 18:42:52.142 [cluster-ClusterId{value='66780a3c42c5f64bb5b2e19e', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 18:42:52.177 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sonnees', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@5114b7c7, com.mongodb.Jep395RecordCodecProvider@dd71b20, com.mongodb.KotlinCodecProvider@767f6ee7]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.m0vbmbu.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-mog6u6-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2024-06-23 18:42:52.187 [cluster-ClusterId{value='66780a3c42c5f64bb5b2e19e', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 18:42:52.190 [cluster-ClusterId{value='66780a3c42c5f64bb5b2e19e', description='null'}-srv-cluster0.m0vbmbu.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017 to client view of cluster
2024-06-23 18:42:52.581 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2024-06-23 18:42:52.724 [cluster-ClusterId{value='66780a3c42c5f64bb5b2e19e', description='null'}-ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=314989000, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=174, topologyVersion=TopologyVersion{processId=667713e45aeb0ccf358d8d0e, counter=5}, lastWriteDate=Sun Jun 23 18:43:24 ICT 2024, lastUpdateTimeNanos=989139037735300}
2024-06-23 18:42:52.724 [cluster-ClusterId{value='66780a3c42c5f64bb5b2e19e', description='null'}-ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=316723200, setName='atlas-mog6u6-shard-0', canonicalAddress=ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, hosts=[ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-00.m0vbmbu.mongodb.net:27017, ac-duaokb9-shard-00-02.m0vbmbu.mongodb.net:27017], passives=[], arbiters=[], primary='ac-duaokb9-shard-00-01.m0vbmbu.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='apse1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTHEAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000166, setVersion=174, topologyVersion=TopologyVersion{processId=6677115120c1dfd097c229a1, counter=9}, lastWriteDate=Sun Jun 23 18:43:24 ICT 2024, lastUpdateTimeNanos=989139037735300}
